Document,Max Topic
"Limited overs cricket is always scheduled for completion in a single day. There are two types: List A which normally allows fifty overs per team; and Twenty20 in which the teams have twenty overs each. Both of the limited overs forms are played internationally as Limited Overs Internationals (LOI) and Twenty20 Internationals (T20I). List A was introduced in England in the 1963 season as a knockout cup contested by the first-class county clubs. In 1969, a national league competition was established. The concept was gradually introduced to the other leading cricket countries and the first limited overs international was played in 1971. In 1975, the first Cricket World Cup took place in England. Twenty20 is a new variant of limited overs itself with the purpose being to complete the match within about three hours, usually in an evening session. The first Twenty20 World Championship was held in 2007. Limited overs matches cannot be drawn, although a tie is possible and an unfinished match is a ""no result"".[118][119]",Cricket
"Single wicket was popular in the 18th and 19th centuries and its matches were generally considered top-class. In this form, although each team may have from one to six players, there is only one batsman in at a time and he must face every delivery bowled while his innings lasts. Single wicket has rarely been played since limited overs cricket began. Matches tended to have two innings per team like a full first-class one and they could end in a draw.[120]",Cricket
"Most international matches are played as parts of 'tours', when one nation travels to another for a number of weeks or months, and plays a number of matches of various sorts against the host nation. Sometimes a perpetual trophy is awarded to the winner of the Test series, the most famous of which is The Ashes.",Cricket
"The ICC also organises competitions that are for several countries at once, including the Cricket World Cup, ICC T20 World Cup and ICC Champions Trophy. A league competition for Test matches played as part of normal tours, the ICC World Test Championship, has been proposed several times, and is currently planned to begin in 2019. The ICC maintains Test rankings, ODI rankings and T20 rankings systems for the countries which play these forms of cricket.",Cricket
"Competitions for member nations of the ICC with Associate status include the ICC Intercontinental Cup, for first-class cricket matches, and the World Cricket League for one-day matches, the final matches of which now also serve as the ICC World Cup Qualifier.",Cricket
"First-class cricket in England is played for the most part by the 18 county clubs which contest the County Championship. The concept of a champion county has existed since the 18th century but the official competition was not established until 1890.[40] The most successful club has been Yorkshire, who had won 32 official titles (plus one shared) to 2017.[121]",Cricket
"Australia established its national first-class championship in 1892â€“93 when the Sheffield Shield was introduced. In Australia, the first-class teams represent the various states.[122] New South Wales has the highest number of titles.",Cricket
The other ICC full members have national championship trophies called the Ahmad Shah Abdali 4-day Tournament (Afghanistan); the National Cricket League (Bangladesh); the Ranji Trophy (India); the Inter-Provincial Championship (Ireland); the Plunket Shield (New Zealand); the Quaid-e-Azam Trophy (Pakistan); the Currie Cup (South Africa); the Premier Trophy (Sri Lanka); the Shell Shield (West Indies); and the Logan Cup (Zimbabwe).,Cricket
"The world's earliest known cricket match was a village cricket meeting in Kent which has been deduced from a 1640 court case recording a ""cricketing"" of ""the Weald and the Upland"" versus ""the Chalk Hill"" at Chevening ""about thirty years since"" (i.e., c.â€‰1611). Inter-parish contests became popular in the first half of the 17th century and continued to develop through the 18th with the first local leagues being founded in the second half of the 19th.[17]",Medical
"At the grassroots level, local club cricket is essentially an amateur pastime for those involved but still usually involves teams playing in competitions at weekends or in the evening. Schools cricket, first known in southern England in the 17th century, has a similar scenario and both are widely played in the countries where cricket is popular.[123] Although there can be variations in game format, compared with professional cricket, the Laws are always observed and club/school matches are therefore formal and competitive events.[124] The sport has numerous informal variants such as French cricket.[125]",Cricket
"Cricket has had a broad impact on popular culture, both in the Commonwealth of Nations and elsewhere. It has, for example, influenced the lexicon of these nations, especially the English language, with various phrases such as ""that's not cricket"" (that's unfair), ""had a good innings"" (lived a long life) and ""sticky wicket"". ""On a sticky wicket"" (aka ""sticky dog"" or ""glue pot"")[126] is a metaphor[127] used to describe a difficult circumstance. It originated as a term for difficult batting conditions in cricket, caused by a damp and soft pitch.[128]",Medical
"Cricket is the subject of works by noted English poets, including William Blake and Lord Byron.[129] Beyond a Boundary (1963), written by Trinidadian C. L. R. James, is often named the best book on any sport ever written.[130]",Medical
"In the visual arts, notable cricket paintings include Albert Chevallier Tayler's Kent vs Lancashire at Canterbury (1907) and Russell Drysdale's The Cricketers (1948), which has been called ""possibly the most famous Australian painting of the 20th century.""[131] French impressionist Camille Pissarro painted cricket on a visit to England in the 1890s.[129] Francis Bacon, an avid cricket fan, captured a batsman in motion.[129] Caribbean artist Wendy Nanan's cricket images[132] are featured in a limited edition first day cover for Royal Mail's ""World of Invention"" stamp issue, which celebrated the London Cricket Conference 1â€“3 March 2007, first international workshop of its kind and part of the celebrations leading up to the 2007 Cricket World Cup.[133]",Cricket
"Cricket has close historical ties with Australian rules football and many players have competed at top levels in both sports.[134] In 1858, prominent Australian cricketer Tom Wills called for the formation of a ""foot-ball club"" with ""a code of laws"" to keep cricketers fit during the off-season. The Melbourne Football Club was founded the following year, and Wills and three other members codified the first laws of the game.[135] It is typically played on modified cricket fields.[136]",Cricket
"In England, a number of association football clubs owe their origins to cricketers who sought to play football as a means of keeping fit during the winter months. Derby County was founded as a branch of the Derbyshire County Cricket Club in 1884;[137] Aston Villa (1874) and Everton (1876) were both founded by members of church cricket teams.[138] Sheffield United's Bramall Lane ground was, from 1854, the home of the Sheffield Cricket Club, and then of Yorkshire; it was not used for football until 1862 and was shared by Yorkshire and Sheffield United from 1889 to 1973.[139]",Film
"In the late 19th century, a former cricketer, English-born Henry Chadwick of Brooklyn, New York, was credited with devising the baseball box score[140] (which he adapted from the cricket scorecard) for reporting game events. The first box score appeared in an 1859 issue of the Clipper.[141] The statistical record is so central to the game's ""historical essence"" that Chadwick is sometimes referred to as ""the Father of Baseball"" because he facilitated the popularity of the sport in its early days.[142]",Cricket
Related sports,Cricket
Organisations and competitions,Cricket
Statistics and records,Medical
News and other resources,Cricket
"A One Day International (ODI) is a form of limited overs cricket, played between two teams with international status, in which each team faces a fixed number of overs, usually 50. The Cricket World Cup is played in this format, which is generally held every four years. One Day International matches are also called Limited Overs Internationals (LOI), although this generic term may also refer to Twenty20 International matches. They are major matches and considered the highest standard of List A, limited overs competition.",Cricket
"The international one-day game is a late-twentieth-century development. The first ODI was played on 5 January 1971 between Australia and England at the Melbourne Cricket Ground. When the first three days of the third Test were washed out officials decided to abandon the match and, instead, play a one-off one-day game consisting of 40 eight-ball overs per side. Australia won the game by 5 wickets. ODIs were played in white kits with a red ball.[1]",Cricket
"In the late 1970s, Kerry Packer established the rival World Series Cricket competition, and it introduced many of the features of One Day International cricket that are now commonplace, including coloured uniforms, matches played at night under floodlights with a white ball and dark sight screens, and, for television broadcasts, multiple camera angles, effects microphones to capture sounds from the players on the pitch, and on-screen graphics. The first of the matches with coloured uniforms was the WSC Australians in wattle gold versus WSC West Indians in coral pink, played at VFL Park in Melbourne on 17 January 1979. This led not only to Packer's Channel 9 getting the TV rights to cricket in Australia but also led to players worldwide being paid to play, and becoming international professionals, no longer needing jobs outside cricket. Matches played with coloured kits and a white ball became more commonplace over time, and the use of white flannels and a red ball in ODIs ended in 2001.",Cricket
"In the main the Laws of cricket apply. However, in ODIs, each team bats for a fixed number of overs. In the early days of ODI cricket, the number of overs was generally 60 overs per side, and matches were also played with 40, 45 or 55 overs per side, but now it has been uniformly fixed at 50 overs.",Cricket
"Simply stated, the game works as follows:[2]",Cricket
"Where a number of overs are lost, for example, due to inclement weather conditions, then the total number of overs may be reduced. In the early days of ODI cricket, the team with the better run rate won (see Average Run Rate method), but this favoured the second team.[3] For the 1992 World Cup, an alternative method was used of simply omitting the first team's worst overs (see Most Productive Overs method), but that favoured the first team.[3][4] Since the late 1990s, the target or result is usually determined by the Duckworth-Lewis (DL) method,[3] which is a method with statistical approach. It takes into consideration the fact that the wickets in hand plays a crucial role in pacing the run-rate. In other words, a team with more wickets in hand can play way more aggressively than the team with fewer wickets in hand. When insufficient overs are played to apply the Duckworth-Lewis method, a match is declared no result. Important one-day matches, particularly in the latter stages of major tournaments, may have two days set aside, such that a result can be achieved on the ""reserve day"" if the first day is washed outâ€”either by playing a new game, or by resuming the match which was rain-interrupted. The original DL-method however had a few inherent flaws. For example, Tony Lewis, one of the formulators of this method recognized after the match between India and Kenya during the 1999 World Cup held in Bristol, that the original method gave an unfair advantage to the team chasing scores above 350 runs in a 50 overs match (and likewise scores in other formats). Hence, the method was revised and a new version was released in 2004. There was one more such change made which was first implemented on 2009. Off late (as up to 9 August 2018), the Duckworth-Lewis-Stern (DLS) method is widely used, which is a modification of the DL-Method suggested by Prof. Steven Stern. It was first implemented during the 2015 World Cup. One of the major changes made to DLS from DL method was based on a historic analysis by Prof. Stern that a team with higher run rate in their initial stages has a greater chance to get to a high score than a team with slow initial run rate, but more wickets in hand.",Cricket
"Because the game uses a white ball instead of the red one used in first-class cricket, the ball can become discoloured and hard to see as the innings progresses, so the ICC has used various rules to help keep the ball playable. Most recently, ICC has made the use of two new balls (one from each end), the same strategy that was used in the 1992 and 1996 World Cups so that each ball is used for only 25 overs.[5] Previously, in October 2007, the ICC sanctioned that after the 34th over, the ball would be replaced with a cleaned previously-used ball.[6] Before October 2007 (except 1992 and 1996 World Cups), only one ball would be used during an innings of an ODI and it was up to the umpire to decide whether to change the ball.[2]",Cricket
"The bowling side is subjected to fielding restrictions during an ODI, in order to prevent teams from setting wholly defensive fields. Fielding restrictions dictate the maximum number of fieldsmen allowed to be outside the thirty-yard circle.",Cricket
"Under current ODI rules, there are three levels of fielding restrictions:",Cricket
"Where a match is shortened by rain, the duration of the powerplays is adjusted to equal 30% of the team's overs wherever possible (20% for the first powerplay, 10% for the second).",Cricket
"Fielding restrictions were first introduced in the Australian 1980â€“81 season.[11] By 1992, only two fieldsmen were allowed outside the circle in the first fifteen overs, then five fieldsmen allowed outside the circle for the remaining overs.[12] This was shortened to ten overs in 2005, and two five-over powerplays were introduced, with the bowling team having discretion over the timing for both. In 2008, the batting team was given discretion for the timing of one of the two powerplays. In 2011, the teams were restricted to completing the discretionary powerplays between the 16th and 40th overs; previously, the powerplays could take place at any time between the 11th and 50th overs. Finally, in 2012, the bowling powerplay was abandoned, and the number of fielders allowed outside the 30-yard circle during non-powerplay overs was reduced from five to four.[2][13]",Cricket
"The trial regulations also introduced a substitution rule that allowed the introduction of a replacement player at any stage in the match and until he was called up to play he assumed the role of 12th man. Teams nominated their replacement player, called a Supersub, before the toss. The Supersub could bat, bowl, field or keep wicket once a player was replaced; the replaced player took over the role of 12th man. Over the six months it was in operation, it became very clear that the Supersub was of far more benefit to the side that won the toss, unbalancing the game. Several international captains reached ""gentleman's agreements"" to discontinue this rule late in 2005. They continued to name Supersubs, as required, but they did not field them by simply using them as a normal 12th man. On 15 February 2006, the ICC announced their intention to discontinue the Supersub rule on 21 March 2006.[14]",Cricket
The International Cricket Council (ICC) determines which teams have ODI status (meaning that any match played between two such teams under standard one-day rules is classified as an ODI).,Cricket
"The twelve Test-playing nations (which are also the twelve full members of the ICC) have permanent ODI status. The nations are listed below with the date of each nation's ODI debut after gaining full ODI status shown in brackets (Sri Lanka, Zimbabwe, Bangladesh, Ireland, and Afghanistan were ICC associate members at the times of their ODI debuts):",Cricket
"Between 2005 and 2017 the ICC granted temporary ODI and T20I status to six other teams (known as Associate members). In 2017 this was changed to four teams, following the promotion of Afghanistan and Ireland to Test status (and permanent ODI status). The ICC had previously decided to limit ODI status to 16 teams.[15] Teams earn this temporary status for a period of four years based on their performance in the ICC World Cup Qualifier, which is the final event of the ICC World Cricket League. The following four teams currently have this status (the dates listed in brackets are of their first ODI match after gaining temporary ODI status):",Cricket
"So far, eight teams have held this temporary ODI status before either being promoted to Test status or relegated after under-performing at the World Cup Qualifier:",Cricket
"The ICC occasionally granted associate members permanent ODI status without granting them full membership and Test status. This was originally introduced to allow the best associate members to gain regular experience in internationals before making the step up to full membership. First Bangladesh and then Kenya received this status. Bangladesh have since made the step up to Test status and full membership; but as a result of disputes and poor performances, Kenya's ODI status was reduced to temporary in 2005, meaning that it had to perform well at World Cup Qualifiers to keep ODI status. Kenya lost ODI status after finishing in fifth place at the 2014 Cricket World Cup Qualifier event.[16]",Cricket
"The ICC can also grant special ODI status to all matches within certain high-profile tournaments, with the result being that the following countries have also participated in full ODIs, with some later gaining temporary or permanent ODI status also fitting into this category:",Cricket
"Finally, since 2005, three composite teams have played matches with full ODI status. These matches were:",Cricket
"Most ODI cricket takes place in a stand-alone series between two nations, often immediately before or after a Test series. Triangular or quadrangular series are also common.",Cricket
"There are two major ODI tournaments which feature most or all permanent ODI teams, and often also associate members:",Cricket
"The other major multi-country ODI tournament is the Asia Cup, organised by the Asian Cricket Council since 1983. It has mainly featured Pakistan, Sri Lanka, Bangladesh and India. However, it has also featured Hong Kong (2004 Asia Cup, 2008 Asia Cup, 2018 Asia Cup), UAE (2004 Asia Cup, 2008 Asia Cup) and Afghanistan (Asia Cup 2014 2018 Asia Cup).",Cricket
"Twenty20 cricket, sometimes written Twenty-20, and often abbreviated to T20, is a short form of cricket. At the professional level, it was originally introduced by the England and Wales Cricket Board (ECB) in 2003 for the inter-county competition in England and Wales.[1] In a Twenty20 game the two teams have a single innings each, which is restricted to a maximum of 20 overs. Together with first-class and List A cricket, Twenty20 is one of the three current forms of cricket recognised by the International Cricket Council (ICC) as being at the highest international or domestic level. A typical Twenty20 game is completed in about three hours, with each innings lasting around 90 minutes and an official 10 minute break between the innings. This is much shorter than previously-existing forms of the game, and is closer to the timespan of other popular team sports. It was introduced to create a fast-paced form of the game which would be attractive to spectators at the ground and viewers on television.",Cricket
"The game has succeeded in spreading around the cricket world. On most international tours there is at least one Twenty20 match and all Test-playing nations have a domestic cup competition. The inaugural ICC World Twenty20 was played in South Africa in 2007 with India winning by five runs against Pakistan in the final.[2] Pakistan won the second tournament in 2009,[3] and England won the title in the West Indies 2010. West Indies won in 2012, with Sri Lanka winning the 2014 tournament. West Indies are the reigning champions, winning the 2016 competition, and in doing so, became the first nation to win the tournament twice.",Cricket
"When the Benson & Hedges Cup ended in 2002, the ECB needed another one day competition to fill its place. Cricketing authorities were looking to boost the game's popularity with the younger generation in response to dwindling crowds and reduced sponsorship. It was intended to deliver fast-paced, exciting cricket accessible to thousands of fans who were put off by the longer versions of the game. Stuart Robertson, the marketing manager of the ECB, proposed a 20 over per innings game to county chairmen in 2001 and they voted 11â€“7 in favour of adopting the new format.[4]",Cricket
"The first official Twenty20 matches were played on 13 June 2003 between the English counties in the Twenty20 Cup.[5] The first season of Twenty20 in England was a relative success, with the Surrey Lions defeating the Warwickshire Bears by 9 wickets in the final to claim the title.[6] The first Twenty20 match held at Lord's, on 15 July 2004 between Middlesex and Surrey, attracted a crowd of 27,509, the highest attendance for any county cricket game at the ground â€“ other than a one-day final â€“ since 1953.[7]",Cricket
"Thirteen teams from different parts of the country participated in Pakistan's inaugural competition in 2004, with Faisalabad Wolves the first winners. On 12 January 2005 Australia's first Twenty20 game was played at the WACA Ground between the Western Warriors and the Victorian Bushrangers. It drew a sell-out crowd of 20,000, which was the first time in nearly 25 years the ground had been completely sold out.[8]",Cricket
"Starting 11 July 2006 19 West Indies regional teams competed in what was named the Stanford 20/20 tournament. The event was financially backed by billionaire Allen Stanford, who gave at least US$28,000,000 funding money. It was intended that the tournament would be an annual event. Guyana won the inaugural event, defeating Trinidad and Tobago by 5 wickets, securing US$1,000,000 in prize money.[9][10]",Film
"On 5 January 2007 Queensland Bulls played the New South Wales Blues at The Gabba, Brisbane. A crowd of 11,000 was expected based on pre-match ticket sales. However, an unexpected 16,000 turned up on the day to buy tickets, causing disruption and confusion for surprised Gabba staff as they were forced to throw open gates and grant many fans free entry. Attendance reached 27,653.[11]",Cricket
"For 1 February 2008 Twenty20 match between Australia and India, 85,824[12] people attended the match at the Melbourne Cricket Ground involving the Twenty20 World Champions against the ODI World Champions.",Cricket
"The Stanford Super Series was held in October 2008 between Middlesex and Trinidad and Tobago, the respective winners of the English and Caribbean Twenty20 competitions, and a Stanford Superstars team formed from West Indies domestic players; Trinidad and Tobago won the competition, securing US$280,000 prize money.[13][14] On 1 November, the Stanford Superstars played England in what was expected to be the first of five fixtures in as many years with the winner claiming a US$20,000,000 in each match. The Stanford Superstars won the first match,[15] however no further fixtures were held as Allen Stanford was charged with fraud in 2009.[16]",Film
"Several T20 leagues started after the popularity of 2007 ICC World Twenty20.[17] BCCI started the Indian Premier League in 2008, which utilizes the North American sports franchise system with eight teams in major Indian markets, and is currently in its eleventh season of competition. In September 2017, the broadcasting and digital rights for the next five years (2018-2022) of the IPL were sold to Star India for US$2.55 billion,[18] making it one of the world's most lucrative sports league per match. The IPL has seen a spike in its brand valuation to US$5.3 billion after the 10th edition, according to global valuation and corporate finance advisor Duff & Phelps.[19] Big Bash League, Bangladesh Premier League, Pakistan Super League, Caribbean Premier League started thereafter and remained popular with the fans.[20][21] Women's Big Bash League was started in 2015 by Cricket Australia, while Kia Super League was started in England and Wales in 2016. Canada also started their own league, known as 2018 Global T20 Canada, which had an inaugural edition of the tournament in 2018.",Cricket
The first Twenty20 International match was held on 5 August 2004 between the England and New Zealand women's teams with New Zealand winning by nine runs[22],Cricket
"On 17 February 2005 Australia defeated New Zealand in the first men's full international Twenty20 match, played at Eden Park in Auckland. The game was played in a light-hearted manner â€“ both sides turned out in kit similar to that worn in the 1980s, the New Zealand team's a direct copy of that worn by the Beige Brigade. Some of the players also sported moustaches/beards and hairstyles popular in the 1980s taking part in a competition amongst themselves for best retro look, at the request of the Beige Brigade. Australia won the game comprehensively, and as the result became obvious towards the end of the NZ innings, the players and umpires took things less seriously â€“ Glenn McGrath jokingly replayed the Trevor Chappell underarm incident from a 1981 ODI between the two sides, and Billy Bowden showed him a mock red card (red cards are not normally used in cricket) in response.",Cricket
"The first Twenty20 international in England was played between England and Australia at the Rose Bowl in Hampshire on 13 June 2005, which England won by a margin of 100 runs, a record victory which lasted until 2007.[23]",Cricket
"On 9 January 2006 Australia and South Africa met in the first international Twenty20 game in Australia. In a first, each player's nickname appeared on the back of his uniform, rather than his surname. The international match drew a crowd of 38,894 people at The Gabba. Australia convincingly won the match with man of the match Damien Martyn scoring 96 runs.",Cricket
On 16 February 2006 New Zealand defeated West Indies in a tie-breaking bowl-out 3â€“0; 126 runs were scored apiece in the game proper. The game was the last international match played by Chris Cairns â€“ NZC handed out life-size cardboard masks of his face to patrons as they entered the ground.,Cricket
"Every two years an ICC World Twenty20 tournament is to take place, except in the event of an ICC Cricket World Cup being scheduled in the same year, in which case it will be held the year before. The first tournament was in 2007 in South Africa where India defeated Pakistan in the final. Two Associate teams had played in the first tournament, selected through the 2007 ICC World Cricket League Division One, a 50-over competition. In December 2007 it was decided to hold a qualifying tournament with a 20-over format to better prepare the teams. With six participants, two would qualify for the 2009 World Twenty20 and would each receive $250,000 in prize money.[24] The second tournament was won by Pakistan who beat Sri Lanka by 8 wickets in England on 21 June 2009. The 2010 ICC World Twenty20 tournament was held in West Indies in May 2010, where England defeated Australia by 7 wickets. The 2012 ICC World Twenty20 was won by the West-Indies, by defeating Sri Lanka at the finals. It was the first time in Cricket history when a T20 World Cup tournament took place in an Asian country. The 2014 ICC World Twenty20 was won by Sri Lanka, by defeating India at the finals, where the tournament was held in Bangladesh. The 2016 ICC World Twenty20 was won by West-Indies, by defeating England at the finals, where the tournament was held in India.",Cricket
"Twenty20 cricket is claimed to have resulted in a more athletic and explosive form of cricket. Indian fitness coach Ramji Srinivasan declared in an interview with the Indian fitness website Takath.com, that Twenty20 had ""raised the bar"" in terms of fitness levels for all players, demanding higher levels of strength, speed, agility and reaction time from all players regardless of role in the team.[25] Matthew Hayden credited retirement from international cricket with aiding his performance in general and fitness in particular in the Indian Premier League.[26][27]",Cricket
"In June 2009, speaking at the annual Cowdrey Lecture at Lord's, former Australian wicketkeeper Adam Gilchrist pushed for Twenty20 to be made an Olympic sport. ""It would,"" he said, ""be difficult to see a better, quicker or cheaper way of spreading the game throughout the world.""[28]",Medical
"Former Australian captain Ricky Ponting, on the other hand, has criticized Twenty20 as being detrimental to Test cricket and for hampering batsmen's scoring skills and concentration.[29] Former Australian captain Greg Chappell made similar complaints, fearing that young players would play too much T20 and not develop their batting skills fully, while former England player Alex Tudor feared the same for bowling skills.[30][31]",Cricket
"Former West Indies captains Clive Lloyd, Michael Holding and Garfield Sobers criticised Twenty20 for its role in discouraging players from representing their test cricket national side, with many West Indies players like Chris Gayle, Sunil Narine and Dwayne Bravo preferring instead to play in a Twenty20 franchise elsewhere in the world and make far more money.[32][33][34][35][36]",Cricket
"Twenty20 match format is a form of limited overs cricket in that it involves two teams, each with a single innings, the key feature being that each team bats for a maximum of 20 overs. In terms of visual format, the batting team members do not arrive from and depart to traditional dressing rooms, but come and go from a bench (typically a row of chairs) visible in the playing arena, analogous to association football's technical area or a baseball dugout.[37]",Cricket
"The Laws of cricket apply to Twenty20, with some exceptions:[38]",Cricket
"Currently, if the match ends with the scores tied and there must be a winner, the tie is broken with a one over per side Eliminator[39] or Super Over:[40][41] Each team nominates three batsmen and one bowler to play a one-over per side ""mini-match"". The team which bats second in the match bats first in the Super Over.[42][43] In turn, each side bats one over bowled by the one nominated opposition bowler, with their innings over if they lose two wickets before the over is completed. The side with the higher score from their Super Over wins. If the super over also ends up in a tie, the team that has scored the most boundaries (4s+6s) in the 20 overs wins.",Cricket
"In the Australian domestic competition the Big Bash League the Super Over is played slightly differently, with no 2-wicket limit, and if the super over is also tied then a ""countback"" is used, with scores after the fifth ball for each team being used to determine the result. If it is still tied, then the countback goes to 4 balls and so on.[44] The latest Super Over to decide a match was between the Sydney Sixers winning against the Brisbane Heat on the 25th January 2017, in the Big Bash League at the Brisbane Cricket Ground, with the Sixers winning 0/22 to 0/15 in the Super Over after tying on 164.[45]",Cricket
Tied Twenty20 matches were previously decided by a bowl-out.[46],Cricket
"Women's and men's Twenty20 Internationals have been played since 2004 and 2005 respectively. To date, 25 nations have played the format, including all test playing nations. This considers only matches between teams with Twenty20 International status, which is limited by the International Cricket Council to a small number of top teams.",Cricket
"In November 2011, the ICC released the first Twenty20 International rankings for the men's game, based on the same system as the Test and ODI rankings. The rankings cover a 2 to 3-year period, with matches since the most recent 1 August weighted fully, matches in the preceding 12 months weighted two-thirds, and matches in the 12 months preceding that weighted one-third. To qualify for the rankings, teams must have played at least eight Twenty20 Internationals in the ranking period.[47][48]",Cricket
"The ICC do not maintain a separate Twenty20 ranking for the women's game, instead aggregating performance over all three forms of the game into one overall women's teams ranking.[49]",Cricket
This is a list of the current Twenty20 domestic competitions in several of the leading cricket countries.,Cricket
See also: List of Twenty20 International records,Cricket
"Test cricket is the longest form of the sport of cricket and is considered its highest standard.[1][2] Test matches are played between national representative teams with ""Test status"", as determined and conferred by the International Cricket Council (ICC). The two teams of 11 players each play a four-innings match, which may last up to five days (or longer in some historical cases). It is generally considered the most complete examination of teams' playing ability and endurance.[3][4][5] The name Test stems from the long, gruelling match being both mentally and physically testing.[6]",Cricket
"The first officially recognised Test match took place on 15â€“19 March 1877 and was played between England and Australia at the Melbourne Cricket Ground (MCG), where Australia won by 45 runs.[7] A Test match to celebrate 100 years of Test cricket was held in Melbourne on 12â€“17 March 1977, in which Australia beat England by 45 runsâ€”the same margin as that first Test.[8]",Cricket
"In October 2012, the ICC recast the playing conditions for Test matches, permitting day/night Test matches.[9] The first day/night game took place between Australia and New Zealand at the Adelaide Oval, Adelaide, on 27 Novemberâ€“1 December 2015.[10]",Cricket
"The equivalent for women is Women's Test cricket, which is played over four days with slight differences in format from men's Tests.",Cricket
"Test matches are the highest level of cricket, although, statistically, their data form part of first-class cricket. Matches are played between national representative teams with ""Test status"", as determined by the International Cricket Council. As of June 2017, twelve national teams have Test status, the most recently promoted being Afghanistan and Ireland on 22 June 2017.[11] Zimbabwe's Test status was voluntarily suspended, because of poor performances between 2006 and 2011; it returned to competition in August 2011.[12]",Cricket
"In January 2014, during an ICC meeting in Dubai, the pathway for new potential Test nations was laid out with the winners of the next round of the ICC Intercontinental Cup playing a 5-day match against the bottom ranked Test nation. If the Associate team defeats the Test nation, then they could be added as the new Test country and granted full membership.[13]",Cricket
"A list of matches, defined as ""Tests"", was first drawn up by Australian Clarence Moody in the mid-1890s. Representative matches played by simultaneous England touring sides of 1891â€“92 (in Australia and South Africa) and 1929â€“30 (in the West Indies and New Zealand) are deemed to have ""Test status"".",Cricket
"In 1970, a series of five ""Test matches"" was played in England between England and a Rest of the World XI. These matches, originally scheduled between England and South Africa, were amended after South Africa was suspended from international cricket because of their government's policy of apartheid. Although initially given Test status (and included as Test matches in some record books, including Wisden Cricketers' Almanack), this was later withdrawn and a principle was established that official Test matches can only be between nations (although the geographically and demographically small countries of the West Indies have since 1928 been permitted to field a coalition side). Despite this, in 2005, the ICC ruled that the six-day Super Series match that took place in October 2005, between Australia and a World XI, was an official Test match. Some cricket writers and statisticians, including Bill Frindall, ignored the ICC's ruling and excluded the 2005 match from their records. The series of ""Test matches"" played in Australia between Australia and a World XI in 1971/72 do not have Test status. The commercial ""Supertests"" organised by Kerry Packer as part of his World Series Cricket enterprise and played between ""WSC Australia"", ""WSC World XI"" and ""WSC West Indies"" from 1977 to 1979 have never been regarded as official Test matches.",Cricket
"There are currently twelve Test-playing men's teams. The teams all represent individual, independent nations, except for England, the West Indies, and Ireland. Test status is conferred upon a country or group of countries by the International Cricket Council. Teams that do not have Test status can play in the ICC Intercontinental Cup, specifically designed to allow non-Test teams to play under conditions similar to Tests. The teams are listed below with the date of each team's Test debut:",Cricket
"In the mid 2010s, the ICC evaluated proposals for dividing Test cricket into two tiers, with promotion and relegation between Tier-1 and Tier-2. These proposals were supported by some national cricket govening bodies,[14][15] but opposed by others.[16][17] These proposals were ultimately not implemented.[18][19][20]",Cricket
"A standard day of Test cricket consists of three sessions of two hours each, the breaks between sessions being 40 minutes for lunch and 20 minutes for tea. However the times of sessions and intervals may be altered in certain circumstances: if bad weather or a change of innings occurs close to a scheduled break, the break may be taken immediately; if there has been a loss of playing time, for example because of bad weather, the session times may be adjusted to make up the lost time; if the batting side is nine wickets down at the scheduled tea break, then the interval may be delayed until either 30 minutes has elapsed or the team is all out;[21] the final session may be extended by up to 30 minutes if 90 or more overs have not been bowled in that day's play (subject to any reduction for adverse weather);[22] the final session may be extended by 30 minutes (except on the 5th day) if the umpires believe the result can be decided within that time.[23]",Cricket
"Today, Test matches are scheduled to be played across five consecutive days. However, in the early days of Test cricket, matches were played for three or four days. Four-day Test matches were last played in 1973, between New Zealand and Pakistan.[24] Until the 1980s, it was usual to include a 'rest day,' often a Sunday. There have also been 'Timeless Tests', which did not end after a predetermined maximum time. In 2005, Australia played a match scheduled for six days against a World XI, which the ICC sanctioned as an official Test match, though the match reached a conclusion on the fourth day. In October 2017, the ICC approved a request for a four-day Test match, between South Africa and Zimbabwe, which started on 26 December 2017 and ended on the second day, 27 December.[25] The ICC will trial the four-day Test format until the 2019 Cricket World Cup.[26]",Cricket
"There have been attempts by the ICC, the sport's governing body, to introduce day-night Test matches.[27] In 2012, The International Cricket Council passed playing conditions that allowed for the staging of day-night Test matches.[9] The first day-night Test took place during New Zealand's tour to Australia in November 2015.[10]",Cricket
"Test cricket is played in innings (the word denotes both the singular and the plural). In each innings, one team bats and the other bowls (or fields). Ordinarily four innings are played in a Test match, and each team bats twice and bowls twice. Before the start of play on the first day, the two team captains and the match referee toss a coin; the captain who wins the toss decides whether his team will bat or bowl first.",Cricket
"In the following scenarios, the team that bats first is referred to as Team A and their opponents as Team B.",Cricket
"Usually the teams will alternate at the completion of each innings. Thus, Team A will bat (and Team B will bowl) until its innings ends, and then Team B will bat and Team A will bowl. When Team B's innings ends, Team A begin their second innings, and this is followed by Team B's second innings. The winning team is the one that scores more runs in their two innings.",Cricket
A team's innings ends in one of the following ways:[28],Cricket
"If, at the completion of its first innings, Team B's first innings total is 200 or more fewer than Team A's, the captain of Team A may (but is not required to) order Team B to have their second innings next. This is called enforcing the follow on.[29] In this case, the usual order of the third and fourth innings is reversed: Team A will bat in the fourth innings. It is rare for a team forced to follow on to win the match. In Test cricket it has only happened three times, although over 285 follow-ons have been enforced: Australia was the losing team on each occasion, twice to England, in 1894 and in 1981, and once to India in 2001.[30]",Cricket
